Item Name,Icon Path,Weapon Type,Attack Power,Attack Speed,Durability,Range,Critical Hit Chance,Base Value,Rarity,Required Level,Equip Slot,Description
Aqua Trident,Assets/CustomAssets/4000_Fantasy_Icons/Weapons/WeaponIcons_2/Spear_v2_12.png,Spear,20,1.1,60,3,0.1,700,Epic,10,MainHand,Holds the power of the ocean.
Axe of Exes,Assets/CustomAssets/4000_Fantasy_Icons/Weapons/WeaponIcons_2/Axe_v2_02.png,Axe,15,1,30,1,0.1,55,Common,4,MainHand,Breaks easily.
Ban Hammer,Assets/CustomAssets/4000_Fantasy_Icons/Weapons/WeaponIcons_2/Hammer_v2_17.png,Blunt,999,0.1,999,1,5.9,999,Rare,99,TwoHand,For game moderators only.
Bashy the Bat,Assets/CustomAssets/4000_Fantasy_Icons/Resources/Profession_icons/Blacksmith/Blacksmith_06_stick.png,Blunt,8,1.2,100,1.2,0.05,30,Common,2,MainHand,Great for baseball too!
Blazing Bow,Assets/CustomAssets/4000_Fantasy_Icons/Weapons/WeaponIcons_2/Bow_v2_05.png,Bow,10,1.4,60,12,0.1,90,Rare,8,TwoHand,Ignites arrows.
Boom Stick,Assets/CustomAssets/4000_Fantasy_Icons/Resources/Profession_icons/Engineering/Engineering_45_gun.png,Explosive,100,0.2,10,5,0.1,200,Epic,25,MainHand,Highly explosive. Handle with care.
Boomerang Blade,Assets/CustomAssets/4000_Fantasy_Icons/1BonusContent/Bonus_icons/neutral_skills/claw_strike.png,Boomerang,10,1.2,30,8,0.15,40,Uncommon,7,MainHand,Always comes back.
Bow of Chuckles,Assets/CustomAssets/4000_Fantasy_Icons/Weapons/500_weapons/Bow_18.png,Bow,5,1.5,40,10,18.7,20,Common,2,TwoHand,Giggle with every twang.
Catty Claws,Assets/CustomAssets/4000_Fantasy_Icons/Resources/Profession_icons/Skinning/skinning_12_old_claw.png,Claws,14,2.5,40,0.7,0.2,60,Uncommon,5,OffHand,For the feline in you.
Chain Heal Staff,Assets/CustomAssets/4000_Fantasy_Icons/Weapons/500_weapons/staff_39.png,Staff,2,1,50,5,0,60,Common,1,MainHand,Heals nearby allies.
Chicken Sword,Assets/CustomAssets/4000_Fantasy_Icons/Resources/Profession_icons/Cooking_fishing/Cooking_02_chicken_ready.png,Sword,1,5,100,1,0.5,500,Legendary,30,MainHand,Clucks upon striking
Choppy's Axe,Assets/CustomAssets/4000_Fantasy_Icons/Weapons/WeaponIcons_2/Axe_v2_14.png,Axe,20,0.8,80,1,0.15,70,Uncommon,5,OffHand,Choppy's favorite. Watch your fingers!
Crescent Moon Axe,Assets/CustomAssets/4000_Fantasy_Icons/Weapons/WeaponIcons_2/Axe_v2_19.png,Axe,22,1,70,1,0.12,85,Uncommon,5,OffHand,Lunar blessings.
Crossbow of Calamity,Assets/CustomAssets/4000_Fantasy_Icons/Weapons/500_weapons/Crossbow_09.png,Crossbow,15,0.4,40,20,0.2,75,Uncommon,8,TwoHand,A crossbow that brings bad luck.
Crossbow of Confusion,Assets/CustomAssets/4000_Fantasy_Icons/Weapons/500_weapons/Crossbow_10.png,Bow,22,0.7,70,15,0.18,70,Uncommon,6,Legs,Fires in unpredictable directions.
Crossbow of Hugs,Assets/CustomAssets/4000_Fantasy_Icons/Weapons/WeaponIcons_2/Crossbow_v2_07.png,Crossbow,0,1,100,5,0,30,Common,2,TwoHand,Spread love
Crossbow of Love,Assets/CustomAssets/4000_Fantasy_Icons/Weapons/WeaponIcons_2/Crossbow_v2_06.png,Bow,0,1,100,10,0.08,50,Rare,10,TwoHand,Makes friends
Crystal Wand,Assets/CustomAssets/4000_Fantasy_Icons/Resources/Profession_icons/Jewelry/Jewelry_02_yellowcrystal.png,Wand,6,2.3,55,7,0.2,60,Uncommon,9,OffHand,Amplifies magical power.
Cursed Blade,Assets/CustomAssets/4000_Fantasy_Icons/Weapons/WeaponIcons_2/Sword_v2_44.png,Cursed,40,1,50,1,0.2,100,Epic,20,MainHand,Immensely powerful but drains health.
Dagger of Illusions,Assets/CustomAssets/4000_Fantasy_Icons/Weapons/500_weapons/Dagger_52.png,Dagger,12,2.5,30,0.5,0.3,65,Uncommon,4,OffHand,Confuses enemies.
Dagger of Tickling,Assets/CustomAssets/4000_Fantasy_Icons/Weapons/500_weapons/Dagger_12.png,Staff,5,2.5,5,0.5,0.05,25,Epic,1,OffHand,So funny it hurts!
Demon Flail,Assets/CustomAssets/4000_Fantasy_Icons/Weapons/WeaponIcons_2/Club_v2_20.png,Flail,40,0.6,45,1.5,0.15,80,Rare,14,MainHand,Infused with demonic energies.
Dragon Claws,Assets/CustomAssets/4000_Fantasy_Icons/1BonusContent/Bonus_icons/neutral_nobg/claw_strike_nobg.png,Claws,20,2.3,50,0.9,0.3,115,Epic,20,OffHand,Scales of a dragon.
Dual Flails,Assets/CustomAssets/4000_Fantasy_Icons/Armor/500_armor/Gloves_09.png,Flail,40,0.9,60,1.3,0.1,95,Rare,9,MainHand,Double the mayhem.
Elemental Whip,Assets/CustomAssets/4000_Fantasy_Icons/1BonusContent/Upgr_1_3/Skills/Melee_09.png,Whip,5,2,30,2,0.05,40,Uncommon,5,MainHand,Can manipulate elemental energies.
Enchanted Whip,Assets/CustomAssets/4000_Fantasy_Icons/Resources/Profession_icons/Engineering/Engineering_59_mega_fishingrod.png,Whip,10,2.5,50,2.2,0.1,70,Rare,11,MainHand,Infused with magical properties.
Energy Saber,Assets/CustomAssets/4000_Fantasy_Icons/Weapons/WeaponIcons_2/Sword_v2_50.png,EnergyBlade,30,2.5,100,1.5,0.2,200,Epic,22,MainHand,A blade made of pure energy.
Exotic Chakram,Assets/CustomAssets/4000_Fantasy_Icons/Armor/500_armor_vol_2/Mail/3_Mail_belt.png,Exotic,15,1.5,40,5,0.2,100,Epic,20,MainHand,Mysterious and deadly.
Exotic Scimitar,Assets/CustomAssets/4000_Fantasy_Icons/Weapons/500_weapons/Sword_37.png,Exotic,20,2,60,1.1,0.25,120,Rare,16,MainHand,Unique and mesmerizing.
Fishy Sword,Assets/CustomAssets/4000_Fantasy_Icons/Skills/500_skill_icons2/Bonus_2/Standart/66_spirit_sword.png,Sword,12,1.2,5,1.5,0.05,40,Common,3,MainHand,Made from a real fish.
Flame-Thrower,Assets/CustomAssets/4000_Fantasy_Icons/Resources/Profession_icons/Engineering/Engineering_54_flamethrower.png,Gun,20,0.9,40,5,0,90,Rare,18,MainHand,Sets targets ablaze.
Galactic Wand,Assets/CustomAssets/4000_Fantasy_Icons/Resources/Profession_icons/Blacksmith/Blacksmith_46_magic_key.png,Wand,10,2.5,100,7,0.3,110,Legendary,25,MainHand,Holds the power of the stars.
